,header,min_leven,perc_min_leven[dissimilarity]
56,nat_56,5.0,0.07575757575757576
57,nat_57,1.0,0.013333333333333334
58,nat_58,1.0,0.014492753623188406
59,nat_59,2.0,0.030303030303030304
60,nat_60,17.0,0.23943661971830985
61,nat_61,20.0,0.30303030303030304
62,nat_62,19.0,0.2923076923076923
63,nat_63,11.0,0.16666666666666666
64,nat_64,7.0,0.11475409836065574
65,nat_65,28.0,0.42424242424242425
66,nat_66,24.0,0.3380281690140845
67,nat_67,13.0,0.19402985074626866
68,nat_68,15.0,0.234375
69,nat_69,15.0,0.22058823529411764
70,nat_70,7.0,0.1044776119402985
71,nat_71,9.0,0.12162162162162163
72,nat_72,6.0,0.09230769230769231
73,nat_73,14.0,0.21875
74,nat_74,10.0,0.16393442622950818
75,nat_75,14.0,0.21875
76,nat_76,11.0,0.16666666666666666
77,nat_77,21.0,0.3181818181818182
78,nat_78,15.0,0.22727272727272727
79,nat_79,25.0,0.3968253968253968
80,nat_80,15.0,0.23076923076923078
81,nat_81,22.0,0.36065573770491804
82,nat_82,24.0,0.36363636363636365
83,nat_83,6.0,0.09230769230769231
84,nat_84,13.0,0.16455696202531644
85,nat_85,7.0,0.1111111111111111
86,nat_86,43.0,0.5308641975308642
87,nat_87,29.0,0.4461538461538462
88,nat_88,19.0,0.2676056338028169
89,nat_89,3.0,0.045454545454545456
90,nat_90,37.0,0.46835443037974683
91,nat_91,34.0,0.53125
92,nat_92,35.0,0.5303030303030303
93,nat_93,21.0,0.31343283582089554
94,nat_94,22.0,0.34375
95,nat_95,20.0,0.3225806451612903
96,nat_96,26.0,0.40625
97,nat_97,21.0,0.3181818181818182
98,nat_98,41.0,0.6212121212121212
99,nat_99,41.0,0.5942028985507246
100,nat_100,42.0,0.5915492957746479
101,nat_101,14.0,0.1917808219178082
102,nat_102,27.0,0.4090909090909091
103,nat_103,37.0,0.5441176470588235
104,nat_104,35.0,0.49295774647887325
105,nat_105,25.0,0.5813953488372093
106,nat_106,29.0,0.4264705882352941
107,nat_107,37.0,0.5441176470588235
108,nat_108,47.0,0.5875
109,nat_109,36.0,0.5294117647058824
110,nat_110,34.0,0.5
111,nat_111,23.0,0.3709677419354839
112,nat_112,14.0,0.22580645161290322
113,nat_113,16.0,0.25806451612903225
114,nat_114,21.0,0.3442622950819672
115,nat_115,42.0,0.6363636363636364
116,nat_116,43.0,0.6417910447761194
117,nat_117,28.0,0.417910447761194
118,nat_118,34.0,0.5
119,nat_119,4.0,0.06060606060606061
120,nat_120,5.0,0.07575757575757576
121,nat_121,37.0,0.5606060606060606
122,nat_122,26.0,0.4
123,nat_123,31.0,0.45588235294117646
124,nat_124,24.0,0.38095238095238093
125,nat_125,40.0,0.5882352941176471
126,nat_126,39.0,0.5909090909090909
127,nat_127,23.0,0.3709677419354839
128,nat_128,23.0,0.3709677419354839
129,nat_129,8.0,0.125
130,nat_130,36.0,0.5538461538461539
131,nat_131,33.0,0.559322033898305
132,nat_132,10.0,0.15151515151515152
133,nat_133,33.0,0.5
134,nat_134,43.0,0.6323529411764706
135,nat_135,36.0,0.5454545454545454
136,nat_136,32.0,0.48484848484848486
137,nat_137,38.0,0.5757575757575758
138,nat_138,27.0,0.40298507462686567
139,nat_139,39.0,0.5909090909090909
140,nat_140,30.0,0.45454545454545453
141,nat_141,30.0,0.45454545454545453
142,nat_142,38.0,0.6031746031746031
143,nat_143,23.0,0.36507936507936506
144,nat_144,18.0,0.2647058823529412
145,nat_145,35.0,0.6730769230769231
146,nat_146,38.0,0.5846153846153846
147,nat_147,53.0,0.654320987654321
148,nat_148,10.0,0.15151515151515152
149,nat_149,31.0,0.4696969696969697
150,nat_150,25.0,0.36764705882352944
151,nat_151,24.0,0.35294117647058826
152,nat_152,39.0,0.5909090909090909
153,nat_153,20.0,0.2857142857142857
154,nat_154,29.0,0.4264705882352941
155,nat_155,18.0,0.2647058823529412
156,nat_156,25.0,0.3787878787878788
157,nat_157,20.0,0.30303030303030304
158,nat_158,38.0,0.5588235294117647
159,nat_159,6.0,0.09090909090909091
160,nat_160,25.0,0.36764705882352944
161,nat_161,29.0,0.4264705882352941
162,nat_162,15.0,0.21739130434782608
163,nat_163,26.0,0.3939393939393939
164,nat_164,23.0,0.3382352941176471
165,nat_165,41.0,0.6212121212121212
166,nat_166,20.0,0.30303030303030304
167,nat_167,41.0,0.6029411764705882
168,nat_168,21.0,0.31343283582089554
169,nat_169,27.0,0.40298507462686567
170,nat_170,42.0,0.6363636363636364
171,nat_171,7.0,0.1076923076923077
172,nat_172,2.0,0.027777777777777776
173,nat_173,2.0,0.029850746268656716
174,nat_174,6.0,0.09230769230769231
175,nat_175,4.0,0.06153846153846154
176,nat_176,4.0,0.0625
177,nat_177,1.0,0.014705882352941176
178,nat_178,5.0,0.078125
179,nat_179,1.0,0.01639344262295082
180,nat_180,5.0,0.07575757575757576
181,nat_181,3.0,0.046875
182,nat_182,1.0,0.014925373134328358
183,nat_183,5.0,0.07575757575757576
184,nat_184,1.0,0.015625
185,nat_185,2.0,0.03076923076923077
186,nat_186,11.0,0.16923076923076924
187,nat_187,2.0,0.028169014084507043
188,nat_188,3.0,0.047619047619047616
189,nat_189,5.0,0.06944444444444445
190,nat_190,13.0,0.19117647058823528
191,nat_191,2.0,0.03225806451612903
192,nat_192,40.0,0.5263157894736842
193,nat_193,36.0,0.5901639344262295
194,nat_194,26.0,0.3939393939393939
195,nat_195,11.0,0.1527777777777778
196,nat_196,11.0,0.171875
197,nat_197,8.0,0.11940298507462686
198,nat_198,15.0,0.23076923076923078
199,nat_199,11.0,0.18032786885245902
200,nat_200,20.0,0.30303030303030304
201,nat_201,1.0,0.016666666666666666
202,nat_202,2.0,0.03278688524590164
203,nat_203,1.0,0.015625
204,nat_204,7.0,0.1076923076923077
205,nat_205,3.0,0.04838709677419355
206,nat_206,6.0,0.09836065573770492
207,nat_207,5.0,0.07575757575757576
208,nat_208,12.0,0.17391304347826086
209,nat_209,2.0,0.02702702702702703
210,nat_210,16.0,0.2318840579710145
211,nat_211,16.0,0.24242424242424243
212,nat_212,6.0,0.09836065573770492
213,nat_213,1.0,0.015151515151515152
214,nat_214,5.0,0.07462686567164178
215,nat_215,3.0,0.04225352112676056
216,nat_216,3.0,0.045454545454545456
217,nat_217,9.0,0.14285714285714285
218,nat_218,37.0,0.5606060606060606
219,nat_219,4.0,0.05333333333333334
220,nat_220,5.0,0.07575757575757576
221,nat_221,5.0,0.07462686567164178
222,nat_222,3.0,0.045454545454545456
223,nat_223,3.0,0.04838709677419355
224,nat_224,11.0,0.16923076923076924
225,nat_225,1.0,0.01639344262295082
226,nat_226,4.0,0.05333333333333334
227,nat_227,3.0,0.04477611940298507
228,nat_228,6.0,0.09836065573770492
229,nat_229,1.0,0.014705882352941176
230,nat_230,2.0,0.03076923076923077
231,nat_231,10.0,0.16666666666666666
232,nat_232,4.0,0.06349206349206349
233,nat_233,1.0,0.014492753623188406
234,nat_234,4.0,0.06666666666666667
235,nat_235,2.0,0.030303030303030304
236,nat_236,4.0,0.057971014492753624
237,nat_237,1.0,0.015151515151515152
238,nat_238,5.0,0.07142857142857142
239,nat_239,5.0,0.07462686567164178
240,nat_240,2.0,0.03225806451612903
241,nat_241,1.0,0.014084507042253521
242,nat_242,16.0,0.27586206896551724
243,nat_243,6.0,0.08333333333333333
244,nat_244,28.0,0.417910447761194
245,nat_245,20.0,0.273972602739726
246,nat_246,6.0,0.0759493670886076
247,nat_247,2.0,0.027777777777777776
248,nat_248,3.0,0.046153846153846156
249,nat_249,6.0,0.09230769230769231
250,nat_250,4.0,0.06451612903225806
251,nat_251,6.0,0.08823529411764706
252,nat_252,4.0,0.06153846153846154
253,nat_253,4.0,0.06153846153846154
254,nat_254,17.0,0.2537313432835821
255,nat_255,13.0,0.20967741935483872
256,nat_256,5.0,0.07352941176470588
257,nat_257,1.0,0.014925373134328358
258,nat_258,1.0,0.014084507042253521
259,nat_259,9.0,0.14754098360655737
260,nat_260,4.0,0.06153846153846154
261,nat_261,2.0,0.03125
262,nat_262,9.0,0.15254237288135594
263,nat_263,1.0,0.01639344262295082
264,nat_264,1.0,0.015625
265,nat_265,5.0,0.07575757575757576
266,nat_266,4.0,0.058823529411764705
267,nat_267,3.0,0.045454545454545456
268,nat_268,5.0,0.07692307692307693
269,nat_269,4.0,0.06060606060606061
270,nat_270,2.0,0.034482758620689655
271,nat_271,1.0,0.015384615384615385
272,nat_272,11.0,0.16417910447761194
273,nat_273,14.0,0.22580645161290322
274,nat_274,8.0,0.12121212121212122
275,nat_275,13.0,0.16455696202531644
276,nat_276,37.0,0.5211267605633803
277,nat_277,14.0,0.19718309859154928
278,nat_278,23.0,0.3484848484848485
279,nat_279,19.0,0.2923076923076923
280,nat_280,12.0,0.18181818181818182
281,nat_281,8.0,0.13114754098360656
282,nat_282,13.0,0.19402985074626866
283,nat_283,24.0,0.375
284,nat_284,5.0,0.06756756756756757
285,nat_285,5.0,0.07692307692307693
286,nat_286,9.0,0.140625
287,nat_287,2.0,0.03125
288,nat_288,12.0,0.18181818181818182
289,nat_289,14.0,0.23728813559322035
290,nat_290,17.0,0.25757575757575757
291,nat_291,9.0,0.14754098360655737
292,nat_292,37.0,0.49333333333333335
293,nat_293,24.0,0.375
294,nat_294,14.0,0.21212121212121213
295,nat_295,21.0,0.3387096774193548
296,nat_296,11.0,0.15714285714285714
297,nat_297,29.0,0.453125
298,nat_298,26.0,0.3939393939393939
299,nat_299,23.0,0.36507936507936506
300,nat_300,14.0,0.2222222222222222
301,nat_301,26.0,0.38235294117647056
302,nat_302,41.0,0.6212121212121212
303,nat_303,22.0,0.3283582089552239
304,nat_304,17.0,0.2361111111111111
305,nat_305,17.0,0.265625
306,nat_306,10.0,0.14925373134328357
307,nat_307,11.0,0.16923076923076924
308,nat_308,9.0,0.15
309,nat_309,1.0,0.014705882352941176
310,nat_310,4.0,0.05970149253731343
311,nat_311,6.0,0.09375
312,nat_312,14.0,0.2153846153846154
313,nat_313,13.0,0.21666666666666667
314,nat_314,2.0,0.03125
315,nat_315,11.0,0.1774193548387097
316,nat_316,12.0,0.1875
317,nat_317,20.0,0.32786885245901637
318,nat_318,5.0,0.08064516129032258
319,nat_319,10.0,0.16129032258064516
320,nat_320,14.0,0.2028985507246377
321,nat_321,1.0,0.01639344262295082
322,nat_322,9.0,0.13043478260869565
323,nat_323,1.0,0.015151515151515152
324,nat_324,5.0,0.07462686567164178
325,nat_325,30.0,0.379746835443038
326,nat_326,17.0,0.23943661971830985
327,nat_327,1.0,0.015151515151515152
328,nat_328,6.0,0.09090909090909091
329,nat_329,27.0,0.421875
330,nat_330,11.0,0.16666666666666666
331,nat_331,33.0,0.4782608695652174
332,nat_332,27.0,0.4153846153846154
333,nat_333,19.0,0.2878787878787879
334,nat_334,26.0,0.4
335,nat_335,6.0,0.09375
336,nat_336,13.0,0.19696969696969696
337,nat_337,18.0,0.27692307692307694
338,nat_338,12.0,0.21052631578947367
339,nat_339,12.0,0.18181818181818182
340,nat_340,11.0,0.1774193548387097
341,nat_341,11.0,0.16417910447761194
342,nat_342,15.0,0.22388059701492538
343,nat_343,32.0,0.47058823529411764
344,nat_344,46.0,0.6388888888888888
345,nat_345,19.0,0.2878787878787879
346,nat_346,13.0,0.21311475409836064
347,nat_347,25.0,0.5813953488372093
348,nat_348,12.0,0.18181818181818182
349,nat_349,3.0,0.046875
350,nat_350,27.0,0.421875
351,nat_351,15.0,0.24193548387096775
352,nat_352,8.0,0.13114754098360656
353,nat_353,18.0,0.26865671641791045
354,nat_354,30.0,0.46875
355,nat_355,9.0,0.140625
356,nat_356,7.0,0.109375
357,nat_357,13.0,0.21311475409836064
358,nat_358,12.0,0.18461538461538463
359,nat_359,18.0,0.2647058823529412
360,nat_360,3.0,0.045454545454545456
361,nat_361,14.0,0.21875
362,nat_362,14.0,0.1917808219178082
363,nat_363,15.0,0.22388059701492538
364,nat_364,8.0,0.12121212121212122
365,nat_365,8.0,0.12903225806451613
366,nat_366,13.0,0.20634920634920634
367,nat_367,18.0,0.2727272727272727
368,nat_368,22.0,0.34375
369,nat_369,20.0,0.3389830508474576
370,nat_370,20.0,0.3125
371,nat_371,9.0,0.15254237288135594
372,nat_372,36.0,0.5142857142857142
373,nat_373,28.0,0.6086956521739131
374,nat_374,34.0,0.5230769230769231
375,nat_375,13.0,0.18840579710144928
376,nat_376,24.0,0.3870967741935484
377,nat_377,7.0,0.10606060606060606
378,nat_378,27.0,0.627906976744186
379,nat_379,8.0,0.13559322033898305
380,nat_380,3.0,0.04225352112676056
381,nat_381,8.0,0.13559322033898305
382,nat_382,7.0,0.10144927536231885
383,nat_383,8.0,0.11940298507462686
384,nat_384,8.0,0.11940298507462686
385,nat_385,24.0,0.34782608695652173
386,nat_386,1.0,0.015151515151515152
387,nat_387,1.0,0.015151515151515152
388,nat_388,5.0,0.07575757575757576
389,nat_389,2.0,0.030303030303030304
390,nat_390,21.0,0.328125
391,nat_391,9.0,0.13636363636363635
392,nat_392,21.0,0.5384615384615384
393,nat_393,12.0,0.18461538461538463
394,nat_394,13.0,0.21666666666666667
395,nat_395,15.0,0.23076923076923078
396,nat_396,6.0,0.09836065573770492
397,nat_397,2.0,0.02857142857142857
398,nat_398,2.0,0.029850746268656716
399,nat_399,2.0,0.03125
400,nat_400,7.0,0.10606060606060606
401,nat_401,4.0,0.06451612903225806
402,nat_402,8.0,0.11594202898550725
403,nat_403,5.0,0.08064516129032258
404,nat_404,2.0,0.030303030303030304
405,nat_405,7.0,0.1044776119402985
406,nat_406,1.0,0.013513513513513514
407,nat_407,8.0,0.11594202898550725
408,nat_408,10.0,0.14084507042253522
409,nat_409,4.0,0.06060606060606061
410,nat_410,19.0,0.2638888888888889
411,nat_411,14.0,0.21875
412,nat_412,13.0,0.19402985074626866
413,nat_413,18.0,0.27692307692307694
414,nat_414,15.0,0.25
415,nat_415,11.0,0.15714285714285714
416,nat_416,4.0,0.05970149253731343
417,nat_417,20.0,0.30303030303030304
418,nat_418,9.0,0.15
419,nat_419,7.0,0.109375
420,nat_420,7.0,0.11290322580645161
421,nat_421,1.0,0.015625
422,nat_422,10.0,0.15151515151515152
423,nat_423,17.0,0.2463768115942029
424,nat_424,19.0,0.2878787878787879
425,nat_425,10.0,0.16129032258064516
426,nat_426,9.0,0.15254237288135594
427,nat_427,14.0,0.22580645161290322
428,nat_428,1.0,0.01639344262295082
429,nat_429,3.0,0.045454545454545456
430,nat_430,14.0,0.1891891891891892
431,nat_431,22.0,0.3188405797101449
432,nat_432,13.0,0.18309859154929578
433,nat_433,9.0,0.13636363636363635
434,nat_434,4.0,0.06060606060606061
435,nat_435,1.0,0.013888888888888888
436,nat_436,2.0,0.029850746268656716
437,nat_437,6.0,0.09230769230769231
438,nat_438,17.0,0.2073170731707317
439,nat_439,4.0,0.0625
440,nat_440,1.0,0.014705882352941176
441,nat_441,7.0,0.109375
442,nat_442,1.0,0.01639344262295082
443,nat_443,5.0,0.07575757575757576
444,nat_444,1.0,0.014925373134328358
445,nat_445,3.0,0.046875
446,nat_446,26.0,0.3939393939393939
447,nat_447,1.0,0.015384615384615385
448,nat_448,5.0,0.07575757575757576
449,nat_449,1.0,0.015625
450,nat_450,5.0,0.07042253521126761
451,nat_451,2.0,0.031746031746031744
452,nat_452,4.0,0.05555555555555555
453,nat_453,13.0,0.19117647058823528
454,nat_454,1.0,0.01639344262295082
455,nat_455,2.0,0.03225806451612903
456,nat_456,5.0,0.07575757575757576
457,nat_457,17.0,0.2361111111111111
458,nat_458,24.0,0.35294117647058826
459,nat_459,28.0,0.417910447761194
460,nat_460,37.0,0.5522388059701493
461,nat_461,24.0,0.41379310344827586
462,nat_462,21.0,0.3230769230769231
463,nat_463,7.0,0.1044776119402985
464,nat_464,6.0,0.09836065573770492
465,nat_465,14.0,0.21875
466,nat_466,20.0,0.3125
467,nat_467,17.0,0.27419354838709675
468,nat_468,11.0,0.1746031746031746
469,nat_469,18.0,0.2727272727272727
470,nat_470,14.0,0.21212121212121213
471,nat_471,17.0,0.23943661971830985
472,nat_472,34.0,0.4657534246575342
473,nat_473,41.0,0.6212121212121212
474,nat_474,28.0,0.4057971014492754
475,nat_475,24.0,0.36363636363636365
476,nat_476,19.0,0.2835820895522388
477,nat_477,15.0,0.21739130434782608
478,nat_478,35.0,0.44871794871794873
479,nat_479,27.0,0.421875
480,nat_480,8.0,0.12121212121212122
481,nat_481,32.0,0.4444444444444444
482,nat_482,27.0,0.4153846153846154
483,nat_483,29.0,0.43283582089552236
484,nat_484,32.0,0.48484848484848486
485,nat_485,21.0,0.3442622950819672
486,nat_486,27.0,0.4153846153846154
487,nat_487,21.0,0.35
488,nat_488,23.0,0.3382352941176471
489,nat_489,16.0,0.23880597014925373
490,nat_490,31.0,0.47692307692307695
491,nat_491,30.0,0.45454545454545453
492,nat_492,14.0,0.22580645161290322
493,nat_493,15.0,0.234375
494,nat_494,18.0,0.29508196721311475
495,nat_495,15.0,0.24193548387096775
496,nat_496,23.0,0.3194444444444444
497,nat_497,27.0,0.4090909090909091
498,nat_498,29.0,0.4393939393939394
499,nat_499,26.0,0.41935483870967744
500,nat_500,22.0,0.3188405797101449
501,nat_501,22.0,0.3333333333333333
502,nat_502,33.0,0.5409836065573771
503,nat_503,37.0,0.5362318840579711
504,nat_504,40.0,0.547945205479452
505,nat_505,43.0,0.6515151515151515
506,nat_506,14.0,0.21212121212121213
507,nat_507,18.0,0.24
508,nat_508,27.0,0.40298507462686567
509,nat_509,15.0,0.22388059701492538
510,nat_510,19.0,0.2878787878787879
511,nat_511,10.0,0.16129032258064516
512,nat_512,27.0,0.4090909090909091
513,nat_513,11.0,0.18032786885245902
514,nat_514,14.0,0.18666666666666668
515,nat_515,8.0,0.11940298507462686
516,nat_516,9.0,0.14754098360655737
517,nat_517,8.0,0.13114754098360656
518,nat_518,7.0,0.1076923076923077
519,nat_519,31.0,0.5344827586206896
520,nat_520,18.0,0.2647058823529412
521,nat_521,13.0,0.18840579710144928
522,nat_522,9.0,0.14285714285714285
523,nat_523,21.0,0.328125
524,nat_524,9.0,0.1267605633802817
525,nat_525,11.0,0.16666666666666666
526,nat_526,14.0,0.208955223880597
527,nat_527,21.0,0.3
528,nat_528,13.0,0.19696969696969696
529,nat_529,11.0,0.15942028985507245
530,nat_530,37.0,0.5211267605633803
531,nat_531,25.0,0.373134328358209
532,nat_532,12.0,0.1643835616438356
533,nat_533,29.0,0.4084507042253521
534,nat_534,16.0,0.2222222222222222
535,nat_535,26.0,0.38235294117647056
536,nat_536,29.0,0.43283582089552236
537,nat_537,18.0,0.26865671641791045
538,nat_538,13.0,0.22413793103448276
539,nat_539,13.0,0.2
540,nat_540,7.0,0.1044776119402985
541,nat_541,15.0,0.23809523809523808
542,nat_542,16.0,0.25
543,nat_543,9.0,0.13432835820895522
544,nat_544,19.0,0.3064516129032258
545,nat_545,8.0,0.13114754098360656
546,nat_546,16.0,0.25
547,nat_547,10.0,0.15151515151515152
548,nat_548,11.0,0.15492957746478872
549,nat_549,16.0,0.24242424242424243
550,nat_550,12.0,0.17391304347826086
551,nat_551,15.0,0.23076923076923078
552,nat_552,30.0,0.43478260869565216
553,nat_553,10.0,0.15625
554,nat_554,37.0,0.4868421052631579
555,nat_555,17.0,0.2537313432835821
556,nat_556,8.0,0.12121212121212122
557,nat_557,28.0,0.3835616438356164
558,nat_558,17.0,0.22666666666666666
559,nat_559,21.0,0.3181818181818182
560,nat_560,15.0,0.22388059701492538
561,nat_561,19.0,0.2878787878787879
562,nat_562,13.0,0.20967741935483872
563,nat_563,25.0,0.38461538461538464
564,nat_564,9.0,0.14754098360655737
565,nat_565,21.0,0.2916666666666667
566,nat_566,11.0,0.16417910447761194
567,nat_567,30.0,0.4918032786885246
568,nat_568,9.0,0.14754098360655737
569,nat_569,7.0,0.11475409836065574
570,nat_570,10.0,0.15384615384615385
571,nat_571,18.0,0.2647058823529412
572,nat_572,11.0,0.1774193548387097
573,nat_573,11.0,0.15942028985507245
574,nat_574,25.0,0.390625
575,nat_575,23.0,0.32857142857142857
576,nat_576,9.0,0.13636363636363635
577,nat_577,10.0,0.14084507042253522
578,nat_578,11.0,0.15942028985507245
579,nat_579,17.0,0.25757575757575757
580,nat_580,27.0,0.40298507462686567
581,nat_581,24.0,0.3582089552238806
582,nat_582,35.0,0.5303030303030303
583,nat_583,29.0,0.43283582089552236
584,nat_584,13.0,0.1780821917808219
585,nat_585,23.0,0.3194444444444444
586,nat_586,9.0,0.140625
587,nat_587,6.0,0.08955223880597014
588,nat_588,5.0,0.07692307692307693
589,nat_589,6.0,0.1
590,nat_590,6.0,0.08823529411764706
591,nat_591,3.0,0.04477611940298507
592,nat_592,6.0,0.09375
593,nat_593,1.0,0.015625
594,nat_594,12.0,0.1791044776119403
595,nat_595,14.0,0.21212121212121213
596,nat_596,9.0,0.140625
597,nat_597,5.0,0.08064516129032258
598,nat_598,12.0,0.19672131147540983
599,nat_599,3.0,0.04838709677419355
600,nat_600,1.0,0.01639344262295082
601,nat_601,16.0,0.2318840579710145
602,nat_602,4.0,0.06666666666666667
603,nat_603,2.0,0.030303030303030304
604,nat_604,9.0,0.11688311688311688
605,nat_605,4.0,0.05970149253731343
606,nat_606,4.0,0.056338028169014086
607,nat_607,20.0,0.28169014084507044
608,nat_608,5.0,0.07575757575757576
609,nat_609,43.0,0.6142857142857143
610,nat_610,18.0,0.2727272727272727
611,nat_611,10.0,0.16129032258064516
612,nat_612,25.0,0.38461538461538464
613,nat_613,16.0,0.26229508196721313
614,nat_614,23.0,0.3108108108108108
615,nat_615,12.0,0.1791044776119403
616,nat_616,7.0,0.11475409836065574
617,nat_617,20.0,0.29850746268656714
618,nat_618,9.0,0.14754098360655737
619,nat_619,22.0,0.34375
620,nat_620,12.0,0.18461538461538463
621,nat_621,4.0,0.06349206349206349
622,nat_622,22.0,0.3235294117647059
623,nat_623,12.0,0.16901408450704225
624,nat_624,9.0,0.13636363636363635
625,nat_625,21.0,0.30434782608695654
626,nat_626,22.0,0.3283582089552239
627,nat_627,23.0,0.32857142857142857
628,nat_628,26.0,0.37681159420289856
629,nat_629,23.0,0.3484848484848485
630,nat_630,38.0,0.6129032258064516
631,nat_631,33.0,0.4925373134328358
632,nat_632,26.0,0.4
633,nat_633,10.0,0.1388888888888889
634,nat_634,12.0,0.1875
635,nat_635,2.0,0.029850746268656716
636,nat_636,7.0,0.1076923076923077
637,nat_637,7.0,0.11666666666666667
638,nat_638,8.0,0.11267605633802817
639,nat_639,2.0,0.029850746268656716
640,nat_640,3.0,0.05
641,nat_641,2.0,0.03125
642,nat_642,9.0,0.14516129032258066
643,nat_643,8.0,0.12121212121212122
644,nat_644,9.0,0.13636363636363635
645,nat_645,5.0,0.0847457627118644
646,nat_646,9.0,0.13636363636363635
647,nat_647,5.0,0.08196721311475409
648,nat_648,13.0,0.19696969696969696
649,nat_649,1.0,0.01639344262295082
650,nat_650,1.0,0.015151515151515152
651,nat_651,14.0,0.23333333333333334
652,nat_652,20.0,0.30303030303030304
653,nat_653,5.0,0.06666666666666667
654,nat_654,3.0,0.045454545454545456
655,nat_655,12.0,0.16666666666666666
656,nat_656,12.0,0.1875
657,nat_657,7.0,0.1044776119402985
658,nat_658,14.0,0.2153846153846154
659,nat_659,12.0,0.2
660,nat_660,13.0,0.2
661,nat_661,1.0,0.014285714285714285
662,nat_662,2.0,0.029850746268656716
663,nat_663,4.0,0.06557377049180328
664,nat_664,1.0,0.015384615384615385
665,nat_665,1.0,0.015625
666,nat_666,5.0,0.0847457627118644
667,nat_667,1.0,0.016129032258064516
668,nat_668,3.0,0.045454545454545456
669,nat_669,5.0,0.07575757575757576
670,nat_670,3.0,0.04054054054054054
671,nat_671,2.0,0.03278688524590164
672,nat_672,9.0,0.14754098360655737
673,nat_673,7.0,0.10144927536231885
674,nat_674,1.0,0.014925373134328358
675,nat_675,3.0,0.043478260869565216
676,nat_676,1.0,0.015151515151515152
677,nat_677,2.0,0.028169014084507043
678,nat_678,6.0,0.09090909090909091
679,nat_679,1.0,0.015151515151515152
680,nat_680,9.0,0.14285714285714285
681,nat_681,11.0,0.1527777777777778
682,nat_682,6.0,0.09375
683,nat_683,5.0,0.07462686567164178
684,nat_684,17.0,0.2537313432835821
685,nat_685,3.0,0.05
686,nat_686,5.0,0.08196721311475409
687,nat_687,1.0,0.015625
688,nat_688,4.0,0.06557377049180328
689,nat_689,5.0,0.07575757575757576
690,nat_690,1.0,0.016129032258064516
691,nat_691,8.0,0.11594202898550725
692,nat_692,2.0,0.03278688524590164
693,nat_693,1.0,0.015151515151515152
694,nat_694,2.0,0.029850746268656716
695,nat_695,7.0,0.10144927536231885
696,nat_696,3.0,0.04225352112676056
697,nat_697,8.0,0.12121212121212122
698,nat_698,5.0,0.06944444444444445
699,nat_699,9.0,0.140625
700,nat_700,14.0,0.208955223880597
701,nat_701,1.0,0.015384615384615385
702,nat_702,1.0,0.016666666666666666
703,nat_703,2.0,0.02857142857142857
704,nat_704,3.0,0.04477611940298507
705,nat_705,2.0,0.03278688524590164
706,nat_706,1.0,0.015625
707,nat_707,3.0,0.046153846153846156
708,nat_708,4.0,0.06779661016949153
709,nat_709,2.0,0.03225806451612903
710,nat_710,6.0,0.09836065573770492
711,nat_711,8.0,0.12121212121212122
712,nat_712,10.0,0.14492753623188406
713,nat_713,2.0,0.02702702702702703
714,nat_714,2.0,0.03278688524590164
715,nat_715,8.0,0.11594202898550725
716,nat_716,1.0,0.014925373134328358
